Title,Company,Location,Summary,Date
Sr. Data Scientist,proven logo,Riyadh · Saudi Arabia,"are looking for a SeniorData Scientistto lead the development and ... building predictive models, and drivingdata-informed decisions. This hands-on ...",30+ days ago
Data Scientist - Marketplace,WorkMotion logo,Egypt,Join the WorkMotion Talent Marketplace - Your Gateway to Global Remote Opportunities We’re excited to invite passionate professionals…,30+ days ago
Senior Data Scientist ( 3 months contractual role),Creative Chaos logo,Saudi Arabia,"are seeking a highly skilledData Scientistto join our dynamic team ... have a strong background indataanalysis, machine learning, and statistical ...",30+ days ago
"Data Scientist, ISS",ADCI HYD 13 SEZ logo,India,"At Amazon, we strive to be Earth's most customer-centric company, where customers can find and discover anything they want to buy…",30+ days ago
"Manager, Data Scientist",Merck Sharp & Dohme Corp logo,India,"Job Description Manager,Data ScientistThe Opportunity Based in Hyderabad, ... We are seeking a SeniorData Scientistto join our Enterprise IT ...",30+ days ago
Data Scientist,"Qualys, Inc logo",India,Come work at a place where innovation and teamwork come together to support the most exciting missions in the world! Job Description…,30+ days ago
Lead - Data Scientist & AI,Guidehouse logo,India,"Job Family : Data Science & Analysis (India) Travel Required : Up to 10% Clearance Required : None What You Will Do: Design,…",30+ days ago
Senior Data Scientist - Jumia (Full Time),JUMIA GROUP logo,Egypt,About Jumia : Jumia&nbsp;is a leading pan-African e-commerce platform. Its mission is to improve the quality of everyday life…,30+ days ago
"Data Scientist, People Analytics","Motive Technologies, Inc logo",Bengaluru · India,"sits at the intersection ofdatascience and talent strategy, transforming ... performance.&nbsp; As aData Scientiston our rapidly growing team ...",30+ days ago
Data Scientist 1,PayPal logo,Bengaluru · India,Risk Analyst or Senior DecisionScientistwith experience in credit cards ... step-up authentication Partnering withdata scientistto develop statistical models as ...,30+ days ago
"Data Scientist - Python, Tensorflow, SQL, Model Development, ML Lifecycle","United Parcel Service of America, Inc logo",India,"Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your…",30+ days ago
Sr Data Science Engineer,Sabre logo,India,"Sabre is a technology company that powers the global travel industry. By leveraging next-generation technology, we create global technology…",30+ days ago
Data Scientist,swatX Solutions logo,Qatar,"for a talented and drivenData Scientistto join our dynamic team ... will leverage your expertise indataanalysis, machine learning, and statistical ...",30+ days ago
Data Scientist,swatX Solutions logo,Bahrain,"for a talented and drivenData Scientistto join our dynamic team ... will leverage your expertise indataanalysis, machine learning, and statistical ...",30+ days ago
Data Scientist,swatX Solutions logo,Oman,"for a talented and drivenData Scientistto join our dynamic team ... will leverage your expertise indataanalysis, machine learning, and statistical ...",30+ days ago
Data Scientist,Baxter logo,India,"We are looking for aData Scientistthat can grow, solve, drive ... , and create & integratedataproducts to support the Connected ... of the Innovation, Strategy andData...",30+ days ago
Data Scientist,swatX Solutions logo,Saudi Arabia,"for a talented and drivenData Scientistto join our dynamic team ... will leverage your expertise indataanalysis, machine learning, and statistical ...",30+ days ago
Data Scientist,swatX Solutions logo,Kuwait,"for a talented and drivenData Scientistto join our dynamic team ... will leverage your expertise indataanalysis, machine learning, and statistical ...",30+ days ago
Lead Product Software - Data Science Engineer,Wolters Kluwer logo,India,"Ability to analyze complexdatarequirements, understand exploratorydataanalysis, and design ... business needs. Work on analyzingdataprofiles, transformation, quality and...",30+ days ago
Data Scientist,ECS ME logo,Hyderabad · Pakistan,"We are seeking a SeniorData Scientistto drive AI, Machine Learning ... . The ideal candidate will leaddatascience projects, optimize real-time ...datapipelines, and collaborate...",30+ days ago
Data Science Engineer- Only Person with Disability,Jobs for Humanity logo,Hyderabad · India,Company Description Saira's Client Job Description Open Requirement for Person with Disabled Role- Data Science Engineer Location- …,30+ days ago
Data Scientist- Pytorch/ TensorFlow,"United Parcel Service of America, Inc logo",India,"Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your…",30+ days ago
Senior Data Scientist (Remote),HR WAYS logo,Karachi · Pakistan,"About the job SeniorData Scientist(Remote)
We are looking for ... worked with AI, machine learning,datascience, or engineering industries, particularly ...",30+ days ago
Data Scientist,Rightpoint logo,Jaipur · India,"Description Job Description We are looking for a data scientist who will be an integral part of client projects to design, develop…",30+ days ago
Data Scientist,Rightpoint logo,India,"Description Job Description We are looking for a data scientist who will be an integral part of client projects to design, develop…",30+ days ago
Data Scientist (Financial Services),Charterhouse Middle East logo,UAE,looking to hire a FinancialData Scientistwho will be critical for ... is looking for a FinancialData Scientistto help enhance their financial ...,30+ days ago
Petroleum Data Scientist,Saudi Aramco logo,Saudi Arabia,"We are seeking a PetroleumData Scientistto join the Production Technology ... solutions, machine learning models, anddatavisualization tools under Artificial Lift ...",30+ days ago
Sr Data Scientist,Juniper Networks logo,India,Future of X: The Future of X (FoX) team is dedicated to transforming and creating a digital-first experience for support and services…,30+ days ago
Data Scientist,Yassir logo,Algiers · Algeria,"while infusing social values. Asdata scientistat Yassir, working in the ...Dataand AI team, you will ... systems, and will apply yourdataanalysis skills, your analytical...",30+ days ago
Geological / Geophysical Data Scientist,Saudi Aramco logo,Saudi Arabia,Aramco energizes the world economy. Aramco occupies a special position in the global energy industry. We are one of the world’s largest…,30+ days ago
Senior Data Scientist,Medtronic logo,India,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for…",30+ days ago
Data Scientist,Saudi Aramco logo,Saudi Arabia,. Overview We are seeking aData Scientistto join our Artificial Intelligence ... for Artificial Intelligence technologies anddatascience. Your primary role is ...,30+ days ago
Senior Data Scientist,QUANT logo,Riyadh · Saudi Arabia,"The core of Quant is Data Science, and hence it requires highly capable individuals that can deliver the level of quality our clients…",30+ days ago
Senior Data Scientist,VentureDive logo,Pakistan,Job Brief VentureDive is seeking a highly skilled and experienced Senior Data Scientist . This individual will play a crucial role…,30+ days ago
Senior Data Scientist,Clarivate logo,India,We are looking for a ‘Senior Data Scientist’ to join our Technology team at Clarivate. You will get the opportunity to work on interesting…,30+ days ago
"Data Scientist III, IES Shopping Intelligence",ADCI - Karnataka logo,Bengaluru · India,"Are you excited about delighting millions of customers by driving the most relevant marketing initiatives? Do you thrive in a fast-moving,…",30+ days ago
Data Scientist,Clarivate logo,India,We are looking for a highly motivated real-world evidence (RWE) data scientist who has experience in generating insights/evidence…,30+ days ago
Senior Data Scientist,FairMoney logo,India,"FairMoney is a pioneering mobile banking institution specializing in extending credit to emerging markets. Established in 2017, the…",30+ days ago
Data Scientist,Yassir logo,Algiers · Algeria,Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in…,30+ days ago
"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy logo,Dubai · UAE,", we combine deep analytics, advanceddatascience, and agile technology to ... aligned long term. Key Responsibilities:DataPreparation: Collect, clean, and structure ...",30+ days ago
Senior Platform AI Engineer,Rapid7 logo,Pune · India,Overview We are looking for a hybrid AI Platform Engineer to lead the design of high-performance prompts and the development of custom…,12 hours ago
Senior Machine Learning Engineer (Personalization),UNIFONIC logo,Lahore · Pakistan,"Proudly voted a Great Place to Work®, we are a dynamic startup in the SaaS space that revolutionizes the way businesses communicate.…",12 hours ago
AI Developer Intern,Middlesex University Duba logo,Dubai · UAE,"Are you obsessed with AI, automation, and building smart systems? We are Inlogic IT Solutions and we’re looking for interns who want…",Yesterday
Senior Machine Learning Engineer,ServiceNow logo,Hyderabad · India,"Company Description It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential…",Yesterday
Sr Machine Learning Engineer,Amgen Inc logo,India,Career Category Information Systems Job Description ABOUT AMGEN Amgen harnesses the best of biology and technology to fight the world’s…,Yesterday
Audio Machine Learning Research Engineer,"Qualcomm Technologies, Inc logo",Hyderabad · Pakistan,"Company: Qualcomm India Private Limited Job Area: Engineering Group, Engineering Group > Systems Engineering General Summary: The…",Yesterday
AI Developer - Hybrid Mobile Applications & Microsoft Dynamics 365,Valsoft Corporation logo,India,Position Overview We are seeking a developer with at least 4 – 5 years of experience in building intelligent features for hybrid mobile…,Yesterday
AI Engineer,WPBrigade logo,Sialkot · Pakistan,Job description We are looking for a skilled Python/Flask Developer with 2-3 years of experience in the industry to join our dynamic…,4 days ago
AI Engineer I,Adobe logo,Bengaluru · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,4 days ago
Generative AI Engineer,tkxel logo,Lahore · Pakistan,"We are seeking a Generative AI Engineer to lead the design, development, and deployment of agentic, multi-step AI systems. You will…",4 days ago
AI Engineer,HR WAYS logo,Islamabad · Pakistan,About the job AI Engineer We're hiring AI Engineer - Islamabad Introduction of the client company: A leading US-based healthcare company…,5 days ago
Artificial Intelligence Lead - Airbus India Innovation Centre,Airbus S.A.S logo,India,Job Description: Job Title : A.I. Lead - Airbus Innovation Centre Job Summary: Airbus Innovation Centre India & South Asia (AIC)…,5 days ago
Machine Learning Engineer 4 (Firefly),Adobe logo,Noida · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,5 days ago
Senior Machine Learning Engineer,Adobe logo,Noida · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,5 days ago
GEN AI Engineer,tkxel logo,Lahore · Pakistan,"A skilled Generative AI Engineer will be responsible for designing, developing, and deploying cutting-edge generative AI models for…",6 days ago
Machine Learning Engineer,ProgressSoft Corporation logo,Jordan,We’re looking for a passionate and skilled Machine Learning Engineer to join our team. You'll work on cutting-edge projects involving language…,7 days ago
Lead AI Developer – Digital Aviation Solutions,Boeing logo,India,"Lead AI Developer – Digital Aviation Solutions Company: Boeing India Private Limited Overview As a leading global aerospace company,…",7 days ago
Gen AI Specialist,Security and Safety Things logo,Bengaluru · India,"Company Description Bosch Global Software Technologies Private Limited is a 100% owned subsidiary of Robert Bosch GmbH, one of the…",7 days ago
Senior AI Developer,Valsoft Corporation logo,Beirut · Lebanon,Aspire Software is looking for a Senior AI Developer to join our team in Lebanon. Here is a little window into our company: Aspire…,7 days ago
Machine Learning Engineer II (Big-Data Heavy),Expedia Group logo,India,"Expedia Group brands power global travel for everyone, everywhere. We design cutting-edge tech to make travel smoother and more memorable,…",7 days ago
Senior AI Engineer (AgentX),Workato logo,Hyderabad · Pakistan,"About Workato Workato transforms technology complexity into business opportunity. As the leader in enterprise orchestration, Workato…",7 days ago
Machine Learning Engineer (L2),Twilio logo,India,"Who we are&nbsp; At Twilio, we’re shaping the future of communications, all from the comfort of our homes. We deliver innovative…",7 days ago
Machine Learning Engineer L4,Twilio logo,India,"Who we are&nbsp; At Twilio, we’re shaping the future of communications, all from the comfort of our homes. We deliver innovative…",7 days ago
AI Engineer,VIZIO.AI logo,Istanbul · Türkiye,"About Us We are Vizio.ai, a pioneering data science agency specializing in crafting data visualizations, dynamic dashboards, and innovative…",8 days ago
"[Internship] Arabic NLP, LLM, AI Engineer",Aralects logo,Beirut · Lebanon,"# [Internship] Arabic NLP, LLM, AI Engineer Beirut, Lebanon [Internship] Arabic NLP, LLM, AI Engineer #### About the job [Internship]…",9 days ago
"Consultant / Senior Consultant, AI Software Engineer, FAAS, Jordan, KSA, Egypt and Dubai",EY logo,Riyadh · Saudi Arabia,"# Consultant / Senior Consultant, AI Software Engineer, FAAS, Jordan, KSA, Egypt and Dubai Location: Riyadh Other locations: Primary…",10 days ago
"Manager, AI Software Developer, FAAS, Jordan, KSA, Egypt",EY logo,Riyadh · Saudi Arabia,"# Manager, AI Software Developer, FAAS, Jordan, KSA, Egypt Location: Riyadh Other locations: Primary Location Only Salary: Competitive…",10 days ago
"AI Developer -Product, Data & Technology - Tools India",SAP logo,Bengaluru · India,"We help the world run better At SAP, we enable you to bring out your best. Our company culture is focused on collaboration and a shared…",11 days ago
Senior Machine Learning Engineer,Jobs for Humanity logo,Nashik · India,Company Description TRIARQ Health is a Physician Practice Services company that partners with doctors to run modern patient-centered…,11 days ago
Cloud / AI Engineer,Atribs Metscon logo,Abu Dhabi · UAE,"Responsibilities: Design, develop, and deploy machine learning AI solutions. Collaborate with data scientists, software engineers,…",12 days ago
Machine Learning Engineer II,Expedia Group logo,India,"Expedia Group brands power global travel for everyone, everywhere. We design cutting-edge tech to make travel smoother and more memorable,…",12 days ago
Senior Java & AI Developer,SAP logo,Bengaluru · India,"We help the world run better At SAP, we enable you to bring out your best. Our company culture is focused on collaboration and a shared…",13 days ago
Senior Machine Learning Engineer (VOIS),Vodafone logo,Cairo · Egypt,Role Purpose: The senior ML Engineer is a core member of the agile teams facilitating trained ML models to design and deliver E2E…,14 days ago
Senior Machine Learning Engineer,Autodesk logo,India,"Job Requisition ID # 25WD89404 Position overview As a Senior ML Engineer on the team, you will be responsible for leading/contributing…",14 days ago
Staff Machine Learning Engineer,Ema logo,India,Role Overview: Ema is on the lookout for a highly skilled and experienced Staff Machine Learning Engineer to spearhead the development…,18 days ago
Distinguished Machine Learning Engineer,PayPal logo,Bengaluru · India,The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving…,18 days ago
Machine Learning Engineer 5.5,Adobe logo,Noida · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,18 days ago
Staff Machine Learning Engineer,PayPal logo,Bengaluru · India,The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving…,19 days ago
"Senior Machine Learning engineer (Python, Azure databricks, Devops, Pyspark/ SPARK, Github, MLE models, Tensorflow)",Nielsen Consumer LLC logo,Pune · India,"Company Description FK - Growth from Knowledge. For over 89 years, we have earned the trust of our clients around the world by solving…",19 days ago
Lead Agentic AI Developer,S&P Global logo,India,"About the Role: Grade Level (for internal use): 12 Lead Agentic AI Developer Location: Gurgaon, Hyderabad and Bangalore Job Description:…",20 days ago
Machine Learning Engineer 2,Adobe logo,Noida · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,21 days ago
Data Analytics and Applied AI Engineer- DFT Methodology,NVIDIA logo,India,"NVIDIA has continuously reinvented itself. Our invention of the GPU sparked the growth of the PC gaming market, redefined modern computer…",24 days ago
"Lead Machine Learning Engineer – MLOps, VertexAI, LLMs, GenAI, ML Model Management","United Parcel Service of America, Inc logo",India,"Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your…",24 days ago
Data Analytics and Applied AI Engineer - DFT Methodology,NVIDIA logo,India,"NVIDIA has continuously reinvented itself. Our invention of the GPU sparked the growth of the PC gaming market, redefined modern computer…",24 days ago
Principal Machine Learning Engineer,Amgen Inc logo,India,"Career Category Information Systems Job Description Join Amgen’s Mission of Serving Patients At Amgen, if you feel like you’re part…",25 days ago
Sr Applied Researcher - Image/Computer Vision,Adobe logo,Bengaluru · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,26 days ago
Senior AI Specialist,Coursera Inc logo,India,"Coursera was launched in 2012 by Andrew Ng and Daphne Koller, with a mission to provide universal access to world-class learning.…",26 days ago
Workﬂow Automation & AI Specialist (onsite or remote),Brainlake Advertising LLC logo,UAE,We’re looking for a hands-on Workﬂow Automation & AI Specialist to help us design and build smart internal systems using no-code…,27 days ago
AI Specialist,Coursera Inc logo,India,"Coursera was launched in 2012 by Andrew Ng and Daphne Koller, with a mission to provide universal access to world-class learning.…",27 days ago
Machine Learning Engineer,Uipath logo,Jaipur · India,Life at UiPath The people at UiPath believe in the transformative power of automation to change how the world works. We’re committed…,27 days ago
Machine Learning Engineer - Recommender Systems,Thomson Reuters logo,India,Senior Machine Learning Engineer - Recommender Systems Join our team at Thomson Reuters and contribute to the global knowledge economy.…,28 days ago
Machine Learning Engineer (Search),Insider logo,Istanbul · Türkiye,"Before jumping in on all the information about the role and what you can bring to the table, let us introduce ourselves real quick.…",28 days ago
Senior Machine Learning Engineer (Search),Insider logo,Istanbul · Türkiye,"and efficiency. Our platform connectsdataacross channels, predicts future behavior ... in 6+ categories , including CustomerDataPlatforms (CDP), Personalization Engines, Personalization...",28 days ago
Senior AI Engineer,alphasense logo,Bengaluru · India,About AlphaSense:&nbsp; The world’s most sophisticated companies rely on AlphaSense to remove uncertainty from decision-making.…,29 days ago
Staff AI Engineer,alphasense logo,Bengaluru · India,About AlphaSense:&nbsp; The world’s most sophisticated companies rely on AlphaSense to remove uncertainty from decision-making.…,29 days ago
Machine Learning Engineer - AI Foundation - Image domain,Adobe logo,Bengaluru · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,30+ days ago
AI Developer - Octopus by RTG,ROBUSTA logo,Egypt,About the Role We are looking for a skilled and innovative AI Developer Engineer to join our team and play a key role in building…,30+ days ago
"Senior Machine Learning Engineer – MLOps, VertexAI, LLMs, GenAI, ML Model Management","United Parcel Service of America, Inc logo",India,"Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your…",30+ days ago
Machine Learning Engineer,Ollang Inc. logo,Dubai · UAE,# Machine Learning Engineer Full-time ## Company Description We are running towards a borderless world where language barriers do…,30+ days ago
Manager- Machine Learning Engineer,Vodafone logo,Pune · India,"About VOIS VO IS (Vodafone Intelligent Solutions) is a strategic arm of Vodafone Group Plc, creating value and enhancing quality and…",30+ days ago
AI/ ML Engineer,IKONIC logo,Islamabad · Pakistan,"Position Title: AI ML Engineer ​ Timings: 4:00 pm - 1:00 am Department: Software Engineering Location: Ikonic, Plot # 176, Korang…",30+ days ago
AI Engineer - I/II,Philips logo,Bengaluru · India,"Job TitleAI Engineer - I/IIJob Description Your role: Experience in developing NLP algorithms, AI based Computer Vision applications…",30+ days ago
"Machine Learning Engineer - LLMs, RAG & GenAI for Government & Public Sector",apt resources logo,UAE,Apt Resources is seeking an experienced Machine Learning Engineer for a client in Abu Dhabi’s Government & Public Sector .…,30+ days ago
Ai Engineer,Bayan-Tech for Translation and Localization logo,Cairo · Egypt,"# Ai Engineer Cairo, Egypt Ai Engineer #### About the job Ai Engineer Job Description : - Design, develop, and deploy AI agents…",30+ days ago
AI Engineer,Millennium Management LLC logo,India,"AI Engineer Millennium is a cutting edge fintech where we solve hard and interesting problems at the intersection of computer science,…",30+ days ago
Machine Learning Engineer,BARCLAYS logo,Pune · India,"Job Description Purpose of the role To design, develop and improve software, utilising various engineering methodologies, that provides…",30+ days ago
Senior AI Machine Learning Engineer,Chevron Corporation logo,India,Total Number of Openings 2 About the position: Chevron invites applications for the role of AI/ML Engineer within our Enterprise AI…,30+ days ago
Reporting Gen Ai Developer,Pepsico logo,India,Overview Develop and implement AI-driven reporting solutions to improve data analytics and business intelligence. Collaborate with…,30+ days ago
Foreseer AI- Lead,S&P Global logo,India,About the Role: Grade Level (for internal use): 11 The Role: Foreseer AI – Lead The Team: The Foreseer team delivers digital transformation…,30+ days ago
Senior AI Engineer,Redesign Health logo,India,Senior AI Engineer About the Company Redesign Health is a global venture builder that empowers founders to launch and scale transformative…,30+ days ago
AI Engineer,penny logo,Bahrain,Company Description Penny is a cloud-based Source-To-Pay solution that provides procurement and sourcing management software. Our…,30+ days ago
Senior Machine Learning Engineer,The Real Brokerage logo,India,"Real is a fast-growing national real estate brokerage powered by technology. Real is currently operating in all U.S. states, Canada,…",30+ days ago
Synaptic AI Engineer,Millennium Management LLC logo,India,"Synaptic AI Engineer Description: We are a high-impact and fast-paced infrastructure team, looking for an experienced AI Engineer…",30+ days ago
Machine Learning Engineer - 2,PARSPEC logo,Bengaluru · India,"About Parspec Founded in 2021, Parspec is revolutionizing material procurement for the $13 trillion USD construction industry by digitizing…",30+ days ago
Gen AI engineer,Siemens logo,India,"Overview The Gen AI engineer will be part of a team which designs, builds, and operates the AI services of Siemens Healthineers (SHS).…",30+ days ago
AI Developer intern,Jobs for Humanity logo,Riyadh · Saudi Arabia,"Company Description we looki AI Developer, you will assist in designing and deploying AI-powered features for industrial and automation…",30+ days ago
AI Developer,Jobs for Humanity logo,Riyadh · Saudi Arabia,"Company Description we looki AI Developer, you will assist in designing and deploying AI-powered features for industrial and automation…",30+ days ago
Sr Machine Learning Engineer,PayPal logo,Bengaluru · India,The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving…,30+ days ago
Associate Lead Engineer - Machine Learning Engineer,Thomson Reuters logo,India,About the role : You are a fit for the role of Lead Machine Learning Engineer if you meet all or most of these criteria: Provide technical…,30+ days ago
Ai consultant,Jobs for Humanity logo,Riyadh · Saudi Arabia,"Company Description we are loo AI Consultant, you will be part of a growing team that designs and implements intelligent systems and…",30+ days ago
Senior Data & Gen AI Engineer,John Wood Group PLC logo,Abu Dhabi · UAE,"Remarkable people, trusted by clients to design and advance the world. The Role This is an exciting opportunity for an experienced…",30+ days ago
Sr. AI Engineer,Stryker logo,India,"Work Flexibility: Hybrid Senior AI Engineer: As an AI Engineer , you will drive innovation by contributing to the full software development…",30+ days ago
Artificial Intelligence Engineer - Mkalles,KHOUBOURAT logo,Lebanon,"A Reputable Company located in Mkalles is seeking to recruit an Artificial Intelligence (AI) Engineer. Main Duties :  Design,…",30+ days ago
101216 - AI Developer,AceNet Consulting Pvt Ltd logo,Abu Dhabi · UAE,"AceNet Consulting is a fast-growing global business and technology consulting firm specializing in business strategy, digital transformation,…",30+ days ago
Senior Machine Learning Engineer-RK-P1,ATLAS SYSTEMS logo,Bengaluru · India,"About Us: Atlas Systems Inc. is a Software Solutions company headquartered in East Brunswick, NJ. Incorporated in 2003, Atlas provides…",30+ days ago
Machine Learning Engineer - MLOps,"Morningstar, Inc logo",India,"Role: Machine Learning Engineer - MLOps Job Overview As a Senior Software Development Engineer, Machine Learning (ML) Operations in…",30+ days ago
Senior Machine Learning Engineer,VIAVI Solutions Inc logo,India,"Summary: In new product design roles: develops and programs integrated software algorithms to structure, analyze and leverage data…",30+ days ago
Machine Learning Engineer,"Morningstar, Inc logo",India,"At PitchBook , we are always looking forward. We continue to innovate, evolve, and invest in ourselves to bring out the best in everyone.…",30+ days ago
Senior Machine Learning Engineer - 2 (Architect) - Express AI Assistant,Adobe logo,Noida · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,30+ days ago
Machine Learning Engineer,Adobe logo,Noida · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,30+ days ago
Artifical Intelligence & Machine Learning Engineer,Oryx Universal College logo,Doha · Qatar,Oryx Universal College in partnership with Liverpool John Moores University | Full time # Artifical Intelligence & Machine Learning…,30+ days ago
Machine learning engineer,Freudenberg logo,India,Working at Freudenberg: We will wow your world! Responsibilities: Liason to Product Engineering and Advanced Engineering teams in…,30+ days ago
AI Specialist at InterContinental Residences Dubai Business Bay,IHG logo,UAE,"Do you have a passion for creating unforgettable experiences for others? If so, we invite you to embark on a career journey like no…",30+ days ago
Machine Learning Engineer,UNISYS logo,India,What success looks like in this role: We are seeking a proactive and hands-on Machine Learning Engineer to join our team. In this…,30+ days ago
Senior Machine Learning Software Engineer,PAK Wheels logo,Lahore · Pakistan,"As a Machine Learning Engineer at PakWheels, you will be an integral part of a team focused on developing and deploying cutting-edge…",30+ days ago
Machine Learning Engineer/Data Engineer,Adient logo,India,"JOB DESCRIPTION Responsibilities Apply statistical analysis, and machine learning to solve business problems Clean, process, and analyze…",30+ days ago
Senior Machine Learning Engineer Onsite in Riyadh - Octopus by RTG,ROBUSTA logo,Saudi Arabia,Octopus by RTG is on a mission of connecting top notch ogranizations around the globe with top notch talents. We are currently looking…,30+ days ago
AI Engineer,Adobe logo,Bengaluru · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,30+ days ago
AI Software Engineer,commencis logo,Istanbul · Türkiye,"At Commencis, we are seeking a visionary AI Software Engineer to join our team. The ideal candidate will lead the development of transformative…",30+ days ago
Artifical Intelligence & Machine Learning Engineer,oryxuni logo,Doha · Qatar,We are seeking a highly skilled and innovative Artificial Intelligence and Machine Learning Engineer to join our team. The ideal candidate…,30+ days ago
Senior Generative AI Engineer,proven logo,Riyadh · Saudi Arabia,"Lead and manage generative AI projects from concept to production. Design, prototype, and optimize generative AI solutions including…",30+ days ago
AI Engineer (Saudi Only),Lucidya logo,Saudi Arabia,"The purpose of an AI engineer position is to design, develop, and implement artificial intelligence solutions to address complex problems…",30+ days ago
Senior AI Developer,Siemens logo,Pune · India,Hello Visionary! We empower our people to stay resilient and relevant in a constantly evolving world. We’re looking for people who…,30+ days ago
AI Engineer,Thingtrax Ltd logo,Lahore · Pakistan,"ThingTrax is a VC-backed, UK-based start-up aspiring to be the world’s #1 Intelligent Manufacturing Optimisation Platform. ThingTrax…",30+ days ago
Gen AI Programmer,Ubisoft logo,Pune · India,Company Description About the organization:  Ubisoft is a leading developer and publisher of video games worldwide whose brand portfolio…,30+ days ago
AI/Machine Learning Engineer | Hybrid,RAWAJ logo,Cairo · Egypt,"We are seeking passionate, forward-thinking professionals to join our dynamic software engineering team. Our client is a leading industry…",30+ days ago
Qualtrics/cloud/data - AI consultant,Security and Safety Things logo,Bengaluru · India,"Company Description Bosch Global Software Technologies Private Limited is a 100% owned subsidiary of Robert Bosch GmbH, one of the…",30+ days ago
Data Scientist/Machine Learning Engineer,"Arrow Electronics, Inc logo",Egypt,Position: Data Scientist/Machine Learning Engineer Job Description: Position: Data Scientist/Machine Learning Engineer About the Role:…,30+ days ago
Automation & AI Engineer,Orange Group logo,Cairo · Egypt,"Regular - Automation & AI Engineer # Automation & AI Engineer ref :583757 | 14 Apr 2025 apply before : 13 Jul 2025 CityStars,…",30+ days ago
SE II AI Engineer,Rapid7 logo,Pune · India,AI Engineer II MLOps About the Team The AI Center of Excellence team includes Data Scientists and AI Engineers that work together…,30+ days ago
Staff AI Engineer,Rapid7 logo,Pune · India,Staff AI Engineer MLOps About the Team The AI Center of Excellence team includes Data Scientists and AI Engineers that work together…,30+ days ago
Senior AI Engineer MLOps,Rapid7 logo,Pune · India,Senior AI Engineer - MLOps About the Team The AI Center of Excellence team includes Data Scientists and AI Engineers that work together…,30+ days ago
Principal AI Engineer - MLOps,Rapid7 logo,Pune · India,Principal AI Engineer - ML Ops About the Team The AI Center of Excellence team includes Data Scientists and AI Engineers that work…,30+ days ago
AI Engineer - Marketplace,WorkMotion logo,Egypt,Join the WorkMotion Talent Marketplace - Your Gateway to Global Remote Opportunities We’re excited to invite passionate professionals…,30+ days ago
AI/Machine Learning Engineer,"Arrow Electronics, Inc logo",Egypt,Position: AI/Machine Learning Engineer Job Description: About the Role: Arrow Electronics is seeking a AI/Machine Learning Engineer…,30+ days ago
Machine Learning Engineer 4,Adobe logo,Noida · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,30+ days ago
Digital & AI/ML Lead Engineer (Senior AI Engineer),Franklin Templeton logo,India,Lexington Partners is one of the world’s largest and most trusted managers of secondary private equity and co-investment funds. Since…,30+ days ago
Subsurface AI Specialist,Chevron Corporation logo,India,Total Number of Openings 1 About the position: Chevron invites applications for the role of Subsurface AI Specialist within our Subsurface…,30+ days ago
Senior Machine Learning Engineer (Firefly),Adobe logo,Bengaluru · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,30+ days ago
AI Specialist – Entry Level,KIDZINK logo,UAE,Job Description: We are looking for an AI Specialist to help integrate artificial intelligence into our design and project workflows.…,30+ days ago
Cloud AI Developer-4-8 Years-Bangalore,SAP logo,Bengaluru · India,"We help the world run better At SAP, we enable you to bring out your best. Our company culture is focused on collaboration and a shared…",30+ days ago
"Staff, Machine Learning Engineer (L4)",Twilio logo,India,"Who we are&nbsp; At Twilio, we’re shaping the future of communications, all from the comfort of our homes. We deliver innovative…",30+ days ago
Machine Learning Engineer 5,Adobe logo,Bengaluru · India,Our Company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global…,30+ days ago
